Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2016-12-14,76.675,,,,,,0.0,0.0
2016-12-15,76.925,,,,,0.25,0.0,0.0
2016-12-16,77.275,,,,,0.35,0.0,0.0
2016-12-19,77.0,,,,,0.275,0.0,0.0
2016-12-20,76.475,,,,,0.525,0.0,0.0
2016-12-21,76.875,,,,,0.4,0.0,0.0
2016-12-22,76.925,,,,,0.05,0.0,0.0
2016-12-23,76.9,,,,,0.025,0.0,0.0
2016-12-27,77.275,,,,,0.375,0.0,0.0
2016-12-28,77.05,,,,,0.225,0.0,0.0
2016-12-29,77.225,,,,,0.175,0.0,0.0
2016-12-30,77.4,,,,,0.175,0.0,0.0
2017-01-03,77.4,,,,,,0.0,0.0
2017-01-04,77.125,,,,,0.275,0.0,0.0
2017-01-05,77.025,,,,,0.1,0.0,0.0
2017-01-06,76.95,,,,,0.075,0.0,0.0
2017-01-09,77.25,,,,,0.3,0.0,0.0
2017-01-10,77.25,,,,,,0.0,0.0
2017-01-11,77.25,77.25,77.25,77.25,77.25,,2.0,0.0
2017-01-12,77.225,,,,,0.025,0.0,2.0
