CAVER,IB,SECTYPE,CURRENCY,EXCHANGE,CARRY,PRICE,MULTIPLIER
AUD,AUD,FUT,USD,GLOBEX,201703,201612,0
BOBL,GBM,FUT,EUR,DTB,201703,201612,0
CAC,CAC40,FUT,EUR,MONEP,201612,201611,10
COPPER,HG,FUT,USD,NYMEX,201701,201612,0
CORN,ZC,FUT,USD,ECBOT,201709,201712,0
CRUDE_W,CL,FUT,USD,NYMEX,201611,201612,0
EDOLLAR,GE,FUT,USD,GLOBEX,201906,201909,0
EUROSTX,ESTX50,FUT,EUR,DTB,201612,201609,0
EURUSD,EUR,CASH,USD,IDEALPRO,,,
GAS_US,NG,FUT,USD,NYMEX,201609,201610,0
GBP,GBP,FUT,USD,GLOBEX,201703,201612,0
GBPUSD,GBP,CASH,USD,IDEALPRO,,,
GOLD,GC,FUT,USD,NYMEX,201702,201612,0
JPY,JPY,FUT,USD,GLOBEX,201612,201609,0
KR10,FLKTB,FUT,KRW,KSE,201703,201612,
KR3,3KTB,FUT,KRW,KSE,201703,201612,
KRWUSD,KRW,CASH,USD,IDEALPRO,,,
LEANHOG,HE,FUT,USD,GLOBEX,201707,201706,0
LIVECOW,LE,FUT,USD,GLOBEX,201608,201610,0
MXP,MXP,FUT,USD,GLOBEX,201703,201612,0
NASDAQ,NQ,FUT,USD,GLOBEX,201612,201609,0
PALLAD,PA,FUT,USD,NYMEX,201612,201609,0
PLAT,PL,FUT,USD,NYMEX,201701,201610,0
SOYBEAN,ZS,FUT,USD,ECBOT,201609,201611,0
SP500,ES,FUT,USD,GLOBEX,201612,201609,0
US2,ZT,FUT,USD,ECBOT,201612,201609,0
US5,ZF,FUT,USD,ECBOT,201612,201609,0
V2X,V2TX,FUT,EUR,DTB,201608,201609,0
VIX,VIX,FUT,USD,CFE,20160817,20160921,0
WHEAT,ZW,FUT,USD,ECBOT,201609,201612,0
