CAVER,IB,SECTYPE,CURRENCY,EXCHANGE,CARRY,PRICE,MULTIPLIER
AUD,AUD,FUT,USD,GLOBEX,201703,201612,0
BOBL,GBM,FUT,EUR,DTB,201703,201612,0
CAC,CAC40,FUT,EUR,MONEP,201612,201611,10
COPPER,HG,FUT,USD,NYMEX,201701,201612,0
CORN,ZC,FUT,USD,ECBOT,201709,201712,0
CRUDE_W,CL,FUT,USD,NYMEX,201611,201612,0
EDOLLAR,GE,FUT,USD,GLOBEX,201906,201909,0
EUROSTX,ESTX50,FUT,EUR,DTB,201612,201609,0
GAS_US,NG,FUT,USD,NYMEX,201611,201612,0
GBP,GBP,FUT,USD,GLOBEX,201703,201612,0
GOLD,GC,FUT,USD,NYMEX,201702,201612,0
JPY,JPY,FUT,USD,GLOBEX,201703,201612,0
LEANHOG,HE,FUT,USD,GLOBEX,201707,201706,0
LIVECOW,LE,FUT,USD,GLOBEX,201708,201710,0
MXP,MXP,FUT,USD,GLOBEX,201703,201612,0
NASDAQ,NQ,FUT,USD,GLOBEX,201703,201612,0
PALLAD,PA,FUT,USD,NYMEX,201703,201612,0
PLAT,PL,FUT,USD,NYMEX,201701,201610,0
SOYBEAN,ZS,FUT,USD,ECBOT,201709,201711,0
SP500,ES,FUT,USD,GLOBEX,201703,201612,0
US2,ZT,FUT,USD,ECBOT,201703,201612,0
US5,ZF,FUT,USD,ECBOT,201703,201612,0
V2X,V2TX,FUT,EUR,DTB,201611,201612,0
WHEAT,ZW,FUT,USD,ECBOT,201709,201712,0
KR3,3KTB,FUT,KRW,KSE,201703,201612,0
KR10,FLKTB,FUT,KRW,KSE,201703,201612,0
VIX,VIX,FUT,USD,CFE,20161116,20161221,0
GBPUSD,GBP,CASH,USD,IDEALPRO,,,
KRWUSD,KRW,CASH,USD,IDEALPRO,,,
EURUSD,EUR,CASH,USD,IDEALPRO,,,
