CARVER,DATEFROM,DELTA,DONE,QUANDL,IB,SECTYPE,CURRENCY,Q_EXCHANGE,IB_EXCHANGE,MULTIPLIER,PRICE,CARRY
AEX,2016-10-17,,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201611,201612
AEX,2016-11-16,-0.15,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201612,201701
AEX,2016-12-12,,0,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201701,201702
AUD,2016-09-12,,1,AD,AUD,FUT,USD,CME,GLOBEX,0,201612,201703
AUD,2016-12-09,,0,AD,AUD,FUT,USD,CME,GLOBEX,0,201703,201706
BOBL,2016-08-31,,1,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201612,201703
BOBL,2016-12-01,1.63,1,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201703,201706
BOBL,2017-03-01,,0,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201706,201709
BTP,2016-08-31,,1,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201612,201703
BTP,2016-12-01,-1.79,1,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201703,201706
BTP,2017-03-01,,0,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201706,201709
BUND,2016-08-31,,1,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201612,201703
BUND,2016-12-01,1.94,1,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201703,201706
BUND,2017-03-01,,0,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201706,201709
CAC,2016-10-12,,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201611,201612
CAC,2016-11-11,-9.25,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201612,201701
CAC,2016-12-12,,0,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201701,201702
CHFUSD,,,1,,CHF,CASH,USD,,IDEALPRO,0,,
COPPER,2016-09-12,,1,HG,HG,FUT,USD,CME,NYMEX,0,201612,201701
COPPER,2016-12-01,0.011499999999999844,1,HG,HG,FUT,USD,CME,NYMEX,0,201703,201704
COPPER,2017-03-01,,0,HG,HG,FUT,USD,CME,NYMEX,0,201706,201707
CORN,2016-09-14,,1,CZ,ZC,FUT,USD,CME,ECBOT,0,201712,201709
CORN,2017-09-14,,0,CZ,ZC,FUT,USD,CME,ECBOT,0,201812,201809
CRUDE_W,2016-10-19,,1,CL,CL,FUT,USD,CME,NYMEX,0,201712,201711
CRUDE_W,2017-10-19,,0,CL,CL,FUT,USD,CME,NYMEX,0,201812,201811
EDOLLAR,2016-08-12,,1,ED,GE,FUT,USD,CME,GLOBEX,0,201909,201906
EDOLLAR,2016-11-15,-0.075,1,ED,GE,FUT,USD,CME,GLOBEX,0,201912,201909
EDOLLAR,2017-02-15,,0,ED,GE,FUT,USD,CME,GLOBEX,0,202003,201912
EUR,2016-09-12,,1,EC,EUR,FUT,USD,CME,GLOBEX,0,201612,201703
EUR,2016-12-09,,0,EC,EUR,FUT,USD,CME,GLOBEX,0,201703,201706
EURUSD,,,1,,EUR,CASH,USD,,IDEALPRO,0,,
EUROSTX,2016-09-15,,1,FESX,ESTX50,FUT,EUR,EUREX,DTB,0,201612,201703
EUROSTX,2016-12-15,,0,FESX,ESTX50,FUT,EUR,EUREX,DTB,0,201703,201706
GAS_US,2016-11-04,,1,NG,NG,FUT,USD,CME,NYMEX,0,201701,201612
GAS_US,2016-11-23,0.028999999999999998,1,NG,NG,FUT,USD,CME,NYMEX,0,201702,201701
GAS_US,2016-12-23,,0,NG,NG,FUT,USD,CME,NYMEX,0,201703,201702
GBP,2016-09-12,,1,BP,GBP,FUT,USD,CME,GLOBEX,0,201612,201703
GBP,2016-12-09,,0,BP,GBP,FUT,USD,CME,GLOBEX,0,201703,201706
GBPUSD,,,1,,GBP,CASH,USD,,IDEALPRO,0,,
GOLD,2016-08-03,,1,GC,GC,FUT,USD,CME,NYMEX,0,201612,201702
GOLD,2016-12-02,,0,GC,GC,FUT,USD,CME,NYMEX,0,201702,201704
JPY,2016-09-12,,1,JY,JPY,FUT,USD,CME,GLOBEX,0,201612,201703
JPY,2016-12-09,,0,JY,JPY,FUT,USD,CME,GLOBEX,0,201703,201706
KOSPI,2016-09-02,,1,KRDRVFUK2I,K200,FUT,KRW,KRX,KSE,0,201612,201703
KOSPI,2016-12-07,,0,KRDRVFUK2I,K200,FUT,KRW,KRX,KSE,0,201703,201706
KR10,2016-09-13,,1,KRDRVFUBMA,FLKTB,FUT,KRW,KRX,KSE,0,201612,201703
KR10,2016-12-19,,0,KRDRVFUBMA,FLKTB,FUT,KRW,KRX,KSE,0,201703,201706
KR3,2016-09-13,,1,KRDRVFUBM3,3KTB,FUT,KRW,KRX,KSE,0,201612,201703
KR3,2016-12-19,,0,KRDRVFUBM3,3KTB,FUT,KRW,KRX,KSE,0,201703,201706
KRWUSD,,,1,,KRW,CASH,USD,,IDEALPRO,0,,
LEANHOG,2016-06-10,,1,LN,HE,FUT,USD,CME,GLOBEX,0,201706,201707
LEANHOG,2017-06-10,,0,LN,HE,FUT,USD,CME,GLOBEX,0,201806,201807
LIVECOW,2016-09-01,,1,LC,LE,FUT,USD,CME,GLOBEX,0,201710,201708
LIVECOW,2017-09-01,,0,LC,LE,FUT,USD,CME,GLOBEX,0,201810,201808
MXP,2016-09-14,,1,MP,MXP,FUT,USD,CME,GLOBEX,0,201612,201703
MXP,2016-12-09,,0,MP,MXP,FUT,USD,CME,GLOBEX,0,201703,201706
NASDAQ,2016-09-09,,1,NQ,NQ,FUT,USD,CME,GLOBEX,0,201612,201703
NASDAQ,2016-12-09,,0,NQ,NQ,FUT,USD,CME,GLOBEX,0,201703,201706
NZD,2016-09-16,,1,NE,NZD,FUT,USD,CME,GLOBEX,0,201612,201703
NZD,2016-12-09,,0,NE,NZD,FUT,USD,CME,GLOBEX,0,201703,201706
OAT,2016-09-02,,1,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201612,201703
OAT,2016-12-01,-1.81,1,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201703,201706
OAT,2017-03-01,,0,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201706,201709
PALLAD,2016-08-30,,1,PA,PA,FUT,USD,CME,NYMEX,0,201612,201703
PALLAD,2016-12-02,,0,PA,PA,FUT,USD,CME,NYMEX,0,201703,201706
PLAT,2016-09-29,,1,PL,PL,FUT,USD,CME,NYMEX,0,201701,201704
PLAT,2016-12-31,,0,PL,PL,FUT,USD,CME,NYMEX,0,201704,201707
SMI,2016-09-12,,1,FSMI,SMI,FUT,CHF,EUREX,SOFFEX,0,201612,201703
SMI,2016-12-09,,0,FSMI,SMI,FUT,CHF,EUREX,SOFFEX,0,201703,201706
SOYBEAN,2016-09-12,,1,S,ZS,FUT,USD,CME,ECBOT,0,201711,201709
SOYBEAN,2017-09-14,,0,S,ZS,FUT,USD,CME,ECBOT,0,201811,201809
SP500,2016-09-09,,1,ES,ES,FUT,USD,CME,GLOBEX,0,201612,201703
SP500,2016-12-09,,0,ES,ES,FUT,USD,CME,GLOBEX,0,201703,201706
US2,2016-08-30,,1,TU,ZT,FUT,USD,CME,ECBOT,0,201612,201703
US2,2016-11-23,-0.234375,1,TU,ZT,FUT,USD,CME,ECBOT,0,201703,201706
US2,2017-02-23,,0,TU,ZT,FUT,USD,CME,ECBOT,0,201706,201709
US5,2016-08-30,,1,FV,ZF,FUT,USD,CME,ECBOT,0,201612,201703
US5,2016-11-23,-0.484375,1,FV,ZF,FUT,USD,CME,ECBOT,0,201703,201706
US5,2017-02-23,,0,FV,ZF,FUT,USD,CME,ECBOT,0,201706,201709
US10,2016-08-30,,1,TY,ZN,FUT,USD,CME,ECBOT,0,201612,201703
US10,2016-11-23,-0.640625,1,TY,ZN,FUT,USD,CME,ECBOT,0,201703,201706
US10,2017-02-23,,0,TY,ZN,FUT,USD,CME,ECBOT,0,201706,201709
US20,2016-05-20,,1,US,ZB,FUT,USD,CME,ECBOT,0,201609,201612
US20,2016-08-30,,1,US,ZB,FUT,USD,CME,ECBOT,0,201612,201703
US20,2016-11-23,-1.375,1,US,ZB,FUT,USD,CME,ECBOT,0,201703,201706
US20,2017-02-23,,0,US,ZB,FUT,USD,CME,ECBOT,0,201706,201709
V2X,2016-10-17,,1,FVS,V2TX,FUT,EUR,EUREX,DTB,0,201612,201611
V2X,2016-11-15,1.2,1,FVS,V2TX,FUT,EUR,EUREX,DTB,0,201701,201612
V2X,2016-12-12,,0,FVS,V2TX,FUT,EUR,EUREX,DTB,0,201702,201701
VIX,2016-10-17,,1,VX,VIX,FUT,USD,CBOE,CFE,0,20161221,20161116
VIX,2016-11-15,1.65,1,VX,VIX,FUT,USD,CBOE,CFE,0,20170118,20161221
VIX,2016-12-12,,0,VX,VIX,FUT,USD,CBOE,CFE,0,20170215,20170118
WHEAT,2016-09-12,,1,W,ZW,FUT,USD,CME,ECBOT,0,201712,201709
WHEAT,2017-09-15,,0,W,ZW,FUT,USD,CME,ECBOT,0,201812,201809
