,close,high,low,open,volume
2016-11-07,23.6,23.85,23.45,23.85,396
2016-11-08,23.4,23.5,23.0,23.0,1254
2016-11-09,23.1,24.0,23.0,23.8,2406
2016-11-10,23.25,23.3,22.75,22.85,1422
2016-11-11,23.6,23.7,23.35,23.35,1044
2016-11-14,23.6,23.6,23.2,23.3,497
2016-11-15,23.45,23.45,23.35,23.45,672
2016-11-16,23.5,23.65,23.4,23.45,564
2016-11-17,23.55,23.55,23.45,23.55,2185
2016-11-18,23.6,23.8,23.45,23.6,2591
2016-11-21,23.55,23.55,23.4,23.45,770
2016-11-22,23.4,23.45,23.25,23.35,728
2016-11-23,23.5,23.65,23.35,23.45,1396
2016-11-24,23.6,23.65,23.4,23.45,411
2016-11-25,23.7,23.85,23.6,23.7,1178
2016-11-28,24.2,24.25,23.85,23.95,1943
2016-11-29,24.15,24.25,23.95,24.05,1098
2016-11-30,24.05,24.15,23.85,23.85,1305
2016-12-01,24.45,24.6,24.0,24.05,2200
2016-12-02,24.2,24.65,24.1,24.45,2320
2016-12-05,23.65,24.0,23.6,24.0,1426
2016-12-06,23.5,23.75,23.25,23.65,1550
2016-12-07,23.45,23.45,23.25,23.3,4729
2016-12-08,23.35,23.5,23.1,23.4,1739
2016-12-09,23.65,23.7,23.2,23.2,2049
2016-12-12,23.6,23.7,23.45,23.45,895
2016-12-13,23.45,23.6,23.35,23.5,1902
2016-12-14,23.65,23.8,23.3,23.55,1481
2016-12-15,23.4,23.7,23.25,23.55,1819
2016-12-16,23.3,23.7,23.15,23.55,3842
2016-12-19,22.95,23.2,22.85,23.2,1624
2016-12-20,22.65,22.8,22.6,22.8,1006
2016-12-21,22.65,22.7,22.45,22.7,3106
2016-12-22,22.85,23.0,22.55,22.6,2644
2016-12-23,22.95,23.15,22.75,23.0,2286
2016-12-27,22.8,23.2,22.75,23.0,1301
2016-12-28,23.0,23.2,22.85,22.85,2859
2016-12-29,23.3,23.5,23.05,23.1,2338
2016-12-30,23.25,23.55,23.2,23.4,885
2017-01-02,22.9,23.3,22.85,23.3,382
2017-01-03,22.6,23.05,22.55,22.8,3032
2017-01-04,22.15,22.55,22.0,22.5,7476
2017-01-05,21.8,22.1,21.7,22.1,7437
2017-01-06,21.3,21.75,21.3,21.7,7663
2017-01-09,21.3,21.6,21.25,21.4,6104
2017-01-10,21.0,21.3,20.95,21.2,3078
2017-01-11,21.0,21.3,20.75,21.1,8916
2017-01-12,21.15,21.4,20.85,21.0,2917
2017-01-13,20.65,20.95,20.6,20.95,5605
2017-01-16,20.4,20.8,20.3,20.75,3179
2017-01-17,20.55,20.8,20.25,20.55,8487
2017-01-18,19.95,20.55,19.9,20.4,7224
2017-01-19,19.65,20.15,19.5,20.15,8166
2017-01-20,19.55,19.75,19.4,19.75,7930
2017-01-23,19.75,20.0,19.55,19.8,7288
2017-01-24,19.25,19.75,19.0,19.7,10737
2017-01-25,18.65,19.0,18.55,19.0,9829
2017-01-26,18.55,18.65,18.4,18.5,8776
2017-01-27,18.95,19.0,18.45,18.45,6496
2017-01-30,19.45,19.55,18.9,18.9,6334
2017-01-31,19.5,19.6,19.05,19.25,5674
2017-02-01,18.95,19.2,18.75,19.0,7916
2017-02-02,18.5,19.05,18.45,18.95,14014
2017-02-03,17.9,18.55,17.9,18.55,12216
