,close,high,low,open,volume
2016-10-14,19.475,19.55,19.25,19.25,1202
2016-10-17,19.325,19.5,19.25,19.35,1077
2016-10-18,19.225,19.25,19.05,19.1,1859
2016-10-19,19.0,19.1,18.9,19.0,1965
2016-10-20,19.025,19.2,18.95,19.05,2045
2016-10-21,18.875,19.15,18.75,19.15,1928
2016-10-24,18.525,18.65,18.5,18.65,1961
2016-10-25,18.525,18.7,18.45,18.5,2987
2016-10-26,18.675,18.7,18.45,18.65,1771
2016-10-27,18.975,18.95,18.5,18.5,1914
2016-10-28,19.025,19.25,18.75,18.9,2385
2016-10-31,19.025,19.15,18.95,19.0,2066
2016-11-01,19.325,19.6,19.05,19.05,3032
2016-11-02,19.45,19.45,19.15,19.3,3423
2016-11-03,20.025,20.0,19.3,19.4,2322
2016-11-04,19.925,20.0,19.55,19.85,3847
2016-11-07,18.4,19.15,18.4,19.1,4391
2016-11-08,18.525,18.7,18.25,18.7,2885
2016-11-09,18.0,18.8,17.95,18.8,5102
2016-11-10,18.375,18.65,17.9,17.95,7361
2016-11-11,18.325,18.9,18.35,18.65,4114
2016-11-14,18.375,18.9,18.35,18.4,4069
2016-11-15,18.325,18.5,18.05,18.4,4218
2016-11-16,18.375,18.55,18.25,18.55,5898
2016-11-17,18.075,18.3,18.05,18.3,3430
2016-11-18,18.075,18.3,17.9,18.0,4807
2016-11-21,17.825,18.05,17.7,17.95,3534
2016-11-22,17.825,18.0,17.7,17.75,2083
2016-11-23,17.975,18.05,17.8,17.95,2376
2016-11-25,17.875,18.0,17.85,17.9,1279
2016-11-28,17.975,18.1,17.9,18.0,3632
2016-11-29,17.925,18.0,17.85,17.95,1633
2016-11-30,17.975,18.0,17.8,17.85,2266
2016-12-01,18.175,18.4,17.85,17.9,4276
2016-12-02,18.325,18.35,17.95,18.2,4729
2016-12-05,17.725,18.05,17.7,18.05,4709
2016-12-06,17.525,17.75,17.45,17.65,3424
2016-12-07,17.55,17.55,17.35,17.45,4856
2016-12-08,17.625,17.9,17.45,17.6,4869
2016-12-09,17.425,17.65,17.4,17.65,4117
2016-12-12,17.625,17.75,17.5,17.55,4573
2016-12-13,17.675,17.85,17.45,17.5,6327
2016-12-14,17.475,17.8,17.4,17.8,6195
2016-12-15,17.475,17.6,17.3,17.45,4198
2016-12-16,17.425,17.7,17.35,17.5,5476
2016-12-19,17.125,17.35,17.1,17.35,3942
2016-12-20,16.975,17.15,16.95,17.1,3907
2016-12-21,16.925,17.0,16.8,16.95,6463
2016-12-22,17.225,17.25,16.9,16.9,5912
2016-12-23,17.275,17.35,17.15,17.25,2531
2016-12-27,17.075,17.2,17.0,17.15,2800
2016-12-28,17.325,17.35,16.95,17.05,6330
2016-12-29,17.425,17.6,17.25,17.3,4876
2016-12-30,17.6,17.8,17.35,17.35,5543
2017-01-03,16.825,17.3,16.8,17.3,7223
2017-01-04,16.275,16.75,16.05,16.7,11971
2017-01-05,16.175,16.5,16.15,16.3,7356
2017-01-06,16.025,16.1,15.75,16.0,10982
2017-01-09,15.875,16.1,15.75,16.0,6377
2017-01-10,15.775,16.0,15.65,15.75,9494
2017-01-11,15.625,16.1,15.6,15.8,13338
